Vaccine Budget (% of population),Superspreader Compliance (% relative to superspreader subpopulation),Total Infected Mean,Total Infected Standard Deviation),Total Infected 95% Confidence Interval (±)
70,20,11.897000000000002,0.6093283187248074,1.1942835047006226
70,30,8.722999999999999,3.0829111242460416,6.042505803522242
70,40,5.907999999999999,2.963385901296017,5.808236366540194
70,50,4.136999999999999,2.621659970324144,5.138453541835322
70,60,0.6790000000000006,1.2827817429321335,2.5142522161469816
70,70,0.515000000000002,0.7831251496408498,1.5349252932960655
70,80,0.11900000000000119,0.08239538822045604,0.16149496091209384
70,90,0.12599999999999625,0.12854571171377116,0.2519495949589915
70,100,0.06799999999999926,0.03026549190084357,0.05932036412565339
80,0,9.338999999999999,4.626409947248515,9.067763496607089
80,10,6.873000000000002,4.500702278533874,8.821376465926392
80,20,6.389999999999999,3.289382920853086,6.447190524872049
80,30,4.961,2.5552669136510975,5.0083231507561505
80,40,3.335999999999997,2.7315680478435787,5.353873373773414
80,50,1.5669999999999973,2.1521572897908743,4.218228287990113
80,60,0.37800000000000156,0.9431839693294204,1.848640579885664
80,70,0.22400000000000092,0.32906534305514384,0.644968072388082
80,80,0.07800000000000154,0.07082372483850313,0.13881450068346612
80,90,0.031000000000001648,0.019723082923313862,0.03865724252969517
80,100,0.05100000000000193,0.024677925358504764,0.048368733702669336
90,0,9.487,4.747965985556343,9.306013331690432
90,10,6.509000000000002,4.285534855767713,8.399648317304717
90,20,4.378,3.570794869493347,6.99875794420696
90,30,4.138,2.0804364926620598,4.0776555256176374
90,40,2.0889999999999986,1.6563782780512442,3.2465014249804387
90,50,0.13500000000000084,0.21643705782513545,0.42421663333726545
90,60,0.4399999999999977,0.7983733462484817,1.564811758647024
90,70,0.04000000000000057,0.08074651695274516,0.1582631732273805
90,80,0.01700000000000159,0.016763054614239884,0.03285558704391017
90,90,0.021999999999999888,0.025999999999999964,0.05095999999999993
90,100,0.014000000000001478,0.011999999999999745,0.0235199999999995
100,0,10.384000000000002,3.499806280353243,6.859620309492356
100,10,6.730000000000001,4.3913483123068255,8.607042692121379
100,20,5.8969999999999985,3.0098107913953673,5.89922915113492
100,30,4.1129999999999995,2.116554038998298,4.148445916436664
100,40,0.6500000000000015,1.2396289767507065,2.4296727944313847
100,50,0.288000000000001,0.7783675224468206,1.5256003439957684
100,60,0.16399999999999865,0.4327169975861806,0.848125315268914
100,70,0.003000000000001535,0.006403124237436124,0.012550123505374803
100,80,0.012000000000000455,0.020880613017820078,0.040926001514927354
100,90,0.001999999999999602,0.005999999999998807,0.011759999999997661
100,100,0.0,0.0,0.0
