Vaccine Budget (% of population),Superspreader Compliance (% relative to superspreader subpopulation),Peak Infected Mean,Peak Infected Standard Deviation),Peak Infected 95% Confidence Interval (±)
80,60,0.098,0.18914544668059025,0.3707250754939569
80,70,0.063,0.04337049688440288,0.08500617389342964
80,80,0.036,0.02009975124224178,0.03939551243479389
80,90,0.028000000000000004,0.014696938456699069,0.028805999375130176
80,100,0.03300000000000001,0.011000000000000001,0.021560000000000003
90,0,1.781,0.9108067852184677,1.7851812990281966
90,10,1.126,0.7777557457196957,1.5244012616106037
90,20,0.712,0.575982638627242,1.1289259717093942
90,30,0.6060000000000001,0.3182828930369963,0.6238344703525127
90,40,0.27399999999999997,0.22289908030317218,0.43688219739421746
90,50,0.034999999999999996,0.03232645975048923,0.06335986111095888
90,60,0.091,0.1332253729587574,0.26112173099916447
90,70,0.023,0.02051828452868319,0.04021583767621905
90,80,0.013000000000000001,0.009,0.01764
90,90,0.018,0.009797958971132711,0.019203999583420114
90,100,0.015000000000000003,0.010246950765959597,0.02008402350128081
