Total % of people infected,% of people infected at peak
36.269999999999996,4.95
35.7,4.63
36.61000000000001,5.71
37.26,5.64
36.31,5.34
37.31,5.75
36.15,4.79
35.35,5.06
33.53,4.54
38.64,6.12
