Total % of people infected,% of people infected at peak
38.870000000000005,5.11
38.64,3.61
36.48,4.61
34.89,4.8
35.550000000000004,4.33
38.089999999999996,4.68
37.42,5.33
35.86,4.15
37.010000000000005,4.54
42.290000000000006,5.76
