Total % of people infected,% of people infected at peak
37.34,6.1899999999999995
40.650000000000006,6.75
40.72,6.45
38.199999999999996,6.29
38.64,5.34
40.62,6.58
40.83,6.39
40.050000000000004,6.2
40.89,6.47
37.38999999999999,5.66
