Total % of people infected,% of people infected at peak
63.029999999999994,11.19
64.29,12.58
62.03999999999999,11.48
62.94,12.11
62.63999999999999,11.73
61.53999999999999,10.209999999999999
63.33,12.09
63.23,11.57
62.44,11.940000000000001
63.629999999999995,10.52
