Vaccine Budget (% of population),Superspreader Compliance (% relative to superspreader subpopulation),Relative General Population Compliance (% relative to general population subpopulation),Actual/ Converted Superspreader Compliance Required (relative to vaccine efficacy),Actual/ Converted General Population Compliance Required (relative to vaccine efficacy)
10,0,12.5,0.0,14.705882352941178
10,10,10.0,11.764705882352942,11.764705882352942
10,20,7.5,23.529411764705884,8.823529411764707
10,30,5.0,35.294117647058826,5.882352941176471
10,40,2.5,47.05882352941177,2.9411764705882355
10,50,0.0,58.82352941176471,0.0
10,60,0.0,70.58823529411765,0.0
10,70,0.0,82.3529411764706,0.0
10,80,0.0,94.11764705882354,0.0
10,90,0.0,105.88235294117648,0.0
10,100,0.0,117.64705882352942,0.0
20,0,25.0,0.0,29.411764705882355
20,10,22.5,11.764705882352942,26.47058823529412
20,20,20.0,23.529411764705884,23.529411764705884
20,30,17.5,35.294117647058826,20.58823529411765
20,40,15.0,47.05882352941177,17.647058823529413
20,50,12.5,58.82352941176471,14.705882352941178
20,60,10.0,70.58823529411765,11.764705882352942
20,70,7.5,82.3529411764706,8.823529411764707
20,80,5.0,94.11764705882354,5.882352941176471
20,90,2.5,105.88235294117648,2.9411764705882355
20,100,0.0,117.64705882352942,0.0
30,0,37.5,0.0,44.11764705882353
30,10,35.0,11.764705882352942,41.1764705882353
30,20,32.5,23.529411764705884,38.23529411764706
30,30,30.0,35.294117647058826,35.294117647058826
30,40,27.500000000000004,47.05882352941177,32.352941176470594
30,50,25.0,58.82352941176471,29.411764705882355
30,60,22.5,70.58823529411765,26.47058823529412
30,70,20.0,82.3529411764706,23.529411764705884
30,80,17.5,94.11764705882354,20.58823529411765
30,90,15.0,105.88235294117648,17.647058823529413
30,100,12.5,117.64705882352942,14.705882352941178
40,0,50.0,0.0,58.82352941176471
40,10,47.5,11.764705882352942,55.88235294117647
40,20,45.0,23.529411764705884,52.94117647058824
40,30,42.5,35.294117647058826,50.0
40,40,40.0,47.05882352941177,47.05882352941177
40,50,37.5,58.82352941176471,44.11764705882353
40,60,35.0,70.58823529411765,41.1764705882353
40,70,32.5,82.3529411764706,38.23529411764706
40,80,30.0,94.11764705882354,35.294117647058826
40,90,27.500000000000004,105.88235294117648,32.352941176470594
40,100,25.0,117.64705882352942,29.411764705882355
50,0,62.5,0.0,73.52941176470588
50,10,60.0,11.764705882352942,70.58823529411765
50,20,57.49999999999999,23.529411764705884,67.6470588235294
50,30,55.00000000000001,35.294117647058826,64.70588235294119
50,40,52.5,47.05882352941177,61.76470588235294
50,50,50.0,58.82352941176471,58.82352941176471
50,60,47.5,70.58823529411765,55.88235294117647
50,70,45.0,82.3529411764706,52.94117647058824
50,80,42.5,94.11764705882354,50.0
50,90,40.0,105.88235294117648,47.05882352941177
50,100,37.5,117.64705882352942,44.11764705882353
60,0,75.0,0.0,88.23529411764706
60,10,72.5,11.764705882352942,85.29411764705883
60,20,70.0,23.529411764705884,82.3529411764706
60,30,67.5,35.294117647058826,79.41176470588235
60,40,65.0,47.05882352941177,76.47058823529412
60,50,62.5,58.82352941176471,73.52941176470588
60,60,60.0,70.58823529411765,70.58823529411765
60,70,57.49999999999999,82.3529411764706,67.6470588235294
60,80,55.00000000000001,94.11764705882354,64.70588235294119
60,90,52.5,105.88235294117648,61.76470588235294
60,100,50.0,117.64705882352942,58.82352941176471
70,0,87.5,0.0,102.94117647058823
70,10,85.0,11.764705882352942,100.0
70,20,82.5,23.529411764705884,97.05882352941177
70,30,80.0,35.294117647058826,94.11764705882354
70,40,77.5,47.05882352941177,91.17647058823529
70,50,75.0,58.82352941176471,88.23529411764706
70,60,72.5,70.58823529411765,85.29411764705883
70,70,70.0,82.3529411764706,82.3529411764706
70,80,67.5,94.11764705882354,79.41176470588235
70,90,65.0,105.88235294117648,76.47058823529412
70,100,62.5,117.64705882352942,73.52941176470588
80,0,100.0,0.0,117.64705882352942
80,10,97.5,11.764705882352942,114.70588235294117
80,20,95.0,23.529411764705884,111.76470588235294
80,30,92.5,35.294117647058826,108.82352941176471
80,40,90.0,47.05882352941177,105.88235294117648
80,50,87.5,58.82352941176471,102.94117647058823
80,60,85.0,70.58823529411765,100.0
80,70,82.5,82.3529411764706,97.05882352941177
80,80,80.0,94.11764705882354,94.11764705882354
80,90,77.5,105.88235294117648,91.17647058823529
80,100,75.0,117.64705882352942,88.23529411764706
90,0,100.0,0.0,117.64705882352942
90,10,100.0,11.764705882352942,117.64705882352942
90,20,100.0,23.529411764705884,117.64705882352942
90,30,100.0,35.294117647058826,117.64705882352942
90,40,100.0,47.05882352941177,117.64705882352942
90,50,100.0,58.82352941176471,117.64705882352942
90,60,97.5,70.58823529411765,114.70588235294117
90,70,95.0,82.3529411764706,111.76470588235294
90,80,92.5,94.11764705882354,108.82352941176471
90,90,90.0,105.88235294117648,105.88235294117648
90,100,87.5,117.64705882352942,102.94117647058823
100,0,100.0,0.0,117.64705882352942
100,10,100.0,11.764705882352942,117.64705882352942
100,20,100.0,23.529411764705884,117.64705882352942
100,30,100.0,35.294117647058826,117.64705882352942
100,40,100.0,47.05882352941177,117.64705882352942
100,50,100.0,58.82352941176471,117.64705882352942
100,60,100.0,70.58823529411765,117.64705882352942
100,70,100.0,82.3529411764706,117.64705882352942
100,80,100.0,94.11764705882354,117.64705882352942
100,90,100.0,105.88235294117648,117.64705882352942
100,100,100.0,117.64705882352942,117.64705882352942
