Vaccine Budget (% of population),Superspreader Compliance (% relative to superspreader subpopulation),Relative General Population Compliance (% relative to general population subpopulation),Actual/ Converted Superspreader Compliance Required (relative to vaccine efficacy),Actual/ Converted General Population Compliance Required (relative to vaccine efficacy)
10,0,12.5,0.0,17.857142857142854
10,10,10.0,14.285714285714285,14.285714285714285
10,20,7.5,28.57142857142857,10.714285714285714
10,30,5.0,42.857142857142854,7.142857142857142
10,40,2.5,57.14285714285714,3.571428571428571
10,50,0.0,71.42857142857142,0.0
10,60,0.0,85.71428571428571,0.0
10,70,0.0,99.99999999999999,0.0
10,80,0.0,114.28571428571428,0.0
10,90,0.0,128.57142857142856,0.0
10,100,0.0,142.85714285714283,0.0
20,0,25.0,0.0,35.71428571428571
20,10,22.5,14.285714285714285,32.14285714285714
20,20,20.0,28.57142857142857,28.57142857142857
20,30,17.5,42.857142857142854,24.999999999999996
20,40,15.0,57.14285714285714,21.428571428571427
20,50,12.5,71.42857142857142,17.857142857142854
20,60,10.0,85.71428571428571,14.285714285714285
20,70,7.5,99.99999999999999,10.714285714285714
20,80,5.0,114.28571428571428,7.142857142857142
20,90,2.5,128.57142857142856,3.571428571428571
20,100,0.0,142.85714285714283,0.0
30,0,37.5,0.0,53.57142857142857
30,10,35.0,14.285714285714285,49.99999999999999
30,20,32.5,28.57142857142857,46.42857142857142
30,30,30.0,42.857142857142854,42.857142857142854
30,40,27.500000000000004,57.14285714285714,39.285714285714285
30,50,25.0,71.42857142857142,35.71428571428571
30,60,22.5,85.71428571428571,32.14285714285714
30,70,20.0,99.99999999999999,28.57142857142857
30,80,17.5,114.28571428571428,24.999999999999996
30,90,15.0,128.57142857142856,21.428571428571427
30,100,12.5,142.85714285714283,17.857142857142854
40,0,50.0,0.0,71.42857142857142
40,10,47.5,14.285714285714285,67.85714285714285
40,20,45.0,28.57142857142857,64.28571428571428
40,30,42.5,42.857142857142854,60.71428571428571
40,40,40.0,57.14285714285714,57.14285714285714
40,50,37.5,71.42857142857142,53.57142857142857
40,60,35.0,85.71428571428571,49.99999999999999
40,70,32.5,99.99999999999999,46.42857142857142
40,80,30.0,114.28571428571428,42.857142857142854
40,90,27.500000000000004,128.57142857142856,39.285714285714285
40,100,25.0,142.85714285714283,35.71428571428571
50,0,62.5,0.0,89.28571428571428
50,10,60.0,14.285714285714285,85.71428571428571
50,20,57.49999999999999,28.57142857142857,82.14285714285712
50,30,55.00000000000001,42.857142857142854,78.57142857142857
50,40,52.5,57.14285714285714,74.99999999999999
50,50,50.0,71.42857142857142,71.42857142857142
50,60,47.5,85.71428571428571,67.85714285714285
50,70,45.0,99.99999999999999,64.28571428571428
50,80,42.5,114.28571428571428,60.71428571428571
50,90,40.0,128.57142857142856,57.14285714285714
50,100,37.5,142.85714285714283,53.57142857142857
60,0,75.0,0.0,107.14285714285714
60,10,72.5,14.285714285714285,103.57142857142856
60,20,70.0,28.57142857142857,99.99999999999999
60,30,67.5,42.857142857142854,96.42857142857142
60,40,65.0,57.14285714285714,92.85714285714285
60,50,62.5,71.42857142857142,89.28571428571428
60,60,60.0,85.71428571428571,85.71428571428571
60,70,57.49999999999999,99.99999999999999,82.14285714285712
60,80,55.00000000000001,114.28571428571428,78.57142857142857
60,90,52.5,128.57142857142856,74.99999999999999
60,100,50.0,142.85714285714283,71.42857142857142
70,0,87.5,0.0,124.99999999999999
70,10,85.0,14.285714285714285,121.42857142857142
70,20,82.5,28.57142857142857,117.85714285714285
70,30,80.0,42.857142857142854,114.28571428571428
70,40,77.5,57.14285714285714,110.71428571428571
70,50,75.0,71.42857142857142,107.14285714285714
70,60,72.5,85.71428571428571,103.57142857142856
70,70,70.0,99.99999999999999,99.99999999999999
70,80,67.5,114.28571428571428,96.42857142857142
70,90,65.0,128.57142857142856,92.85714285714285
70,100,62.5,142.85714285714283,89.28571428571428
80,0,100.0,0.0,142.85714285714283
80,10,97.5,14.285714285714285,139.28571428571428
80,20,95.0,28.57142857142857,135.7142857142857
80,30,92.5,42.857142857142854,132.14285714285714
80,40,90.0,57.14285714285714,128.57142857142856
80,50,87.5,71.42857142857142,124.99999999999999
80,60,85.0,85.71428571428571,121.42857142857142
80,70,82.5,99.99999999999999,117.85714285714285
80,80,80.0,114.28571428571428,114.28571428571428
80,90,77.5,128.57142857142856,110.71428571428571
80,100,75.0,142.85714285714283,107.14285714285714
90,0,100.0,0.0,142.85714285714283
90,10,100.0,14.285714285714285,142.85714285714283
90,20,100.0,28.57142857142857,142.85714285714283
90,30,100.0,42.857142857142854,142.85714285714283
90,40,100.0,57.14285714285714,142.85714285714283
90,50,100.0,71.42857142857142,142.85714285714283
90,60,97.5,85.71428571428571,139.28571428571428
90,70,95.0,99.99999999999999,135.7142857142857
90,80,92.5,114.28571428571428,132.14285714285714
90,90,90.0,128.57142857142856,128.57142857142856
90,100,87.5,142.85714285714283,124.99999999999999
100,0,100.0,0.0,142.85714285714283
100,10,100.0,14.285714285714285,142.85714285714283
100,20,100.0,28.57142857142857,142.85714285714283
100,30,100.0,42.857142857142854,142.85714285714283
100,40,100.0,57.14285714285714,142.85714285714283
100,50,100.0,71.42857142857142,142.85714285714283
100,60,100.0,85.71428571428571,142.85714285714283
100,70,100.0,99.99999999999999,142.85714285714283
100,80,100.0,114.28571428571428,142.85714285714283
100,90,100.0,128.57142857142856,142.85714285714283
100,100,100.0,142.85714285714283,142.85714285714283
