Vaccine Budget (% of population),Superspreader Compliance (% relative to superspreader subpopulation),Relative General Population Compliance (% relative to general population subpopulation),Actual/ Converted Superspreader Compliance Required (relative to vaccine efficacy),Actual/ Converted General Population Compliance Required (relative to vaccine efficacy)
10,0,12.5,0.0,20.833333333333336
10,10,10.0,16.666666666666668,16.666666666666668
10,20,7.5,33.333333333333336,12.5
10,30,5.0,50.0,8.333333333333334
10,40,2.5,66.66666666666667,4.166666666666667
10,50,0.0,83.33333333333334,0.0
10,60,0.0,100.0,0.0
10,70,0.0,116.66666666666667,0.0
10,80,0.0,133.33333333333334,0.0
10,90,0.0,150.0,0.0
10,100,0.0,166.66666666666669,0.0
20,0,25.0,0.0,41.66666666666667
20,10,22.5,16.666666666666668,37.5
20,20,20.0,33.333333333333336,33.333333333333336
20,30,17.5,50.0,29.166666666666668
20,40,15.0,66.66666666666667,25.0
20,50,12.5,83.33333333333334,20.833333333333336
20,60,10.0,100.0,16.666666666666668
20,70,7.5,116.66666666666667,12.5
20,80,5.0,133.33333333333334,8.333333333333334
20,90,2.5,150.0,4.166666666666667
20,100,0.0,166.66666666666669,0.0
30,0,37.5,0.0,62.5
30,10,35.0,16.666666666666668,58.333333333333336
30,20,32.5,33.333333333333336,54.16666666666667
30,30,30.0,50.0,50.0
30,40,27.500000000000004,66.66666666666667,45.83333333333334
30,50,25.0,83.33333333333334,41.66666666666667
30,60,22.5,100.0,37.5
30,70,20.0,116.66666666666667,33.333333333333336
30,80,17.5,133.33333333333334,29.166666666666668
30,90,15.0,150.0,25.0
30,100,12.5,166.66666666666669,20.833333333333336
40,0,50.0,0.0,83.33333333333334
40,10,47.5,16.666666666666668,79.16666666666667
40,20,45.0,33.333333333333336,75.0
40,30,42.5,50.0,70.83333333333334
40,40,40.0,66.66666666666667,66.66666666666667
40,50,37.5,83.33333333333334,62.5
40,60,35.0,100.0,58.333333333333336
40,70,32.5,116.66666666666667,54.16666666666667
40,80,30.0,133.33333333333334,50.0
40,90,27.500000000000004,150.0,45.83333333333334
40,100,25.0,166.66666666666669,41.66666666666667
50,0,62.5,0.0,104.16666666666667
50,10,60.0,16.666666666666668,100.0
50,20,57.49999999999999,33.333333333333336,95.83333333333333
50,30,55.00000000000001,50.0,91.66666666666669
50,40,52.5,66.66666666666667,87.5
50,50,50.0,83.33333333333334,83.33333333333334
50,60,47.5,100.0,79.16666666666667
50,70,45.0,116.66666666666667,75.0
50,80,42.5,133.33333333333334,70.83333333333334
50,90,40.0,150.0,66.66666666666667
50,100,37.5,166.66666666666669,62.5
60,0,75.0,0.0,125.0
60,10,72.5,16.666666666666668,120.83333333333334
60,20,70.0,33.333333333333336,116.66666666666667
60,30,67.5,50.0,112.5
60,40,65.0,66.66666666666667,108.33333333333334
60,50,62.5,83.33333333333334,104.16666666666667
60,60,60.0,100.0,100.0
60,70,57.49999999999999,116.66666666666667,95.83333333333333
60,80,55.00000000000001,133.33333333333334,91.66666666666669
60,90,52.5,150.0,87.5
60,100,50.0,166.66666666666669,83.33333333333334
70,0,87.5,0.0,145.83333333333334
70,10,85.0,16.666666666666668,141.66666666666669
70,20,82.5,33.333333333333336,137.5
70,30,80.0,50.0,133.33333333333334
70,40,77.5,66.66666666666667,129.16666666666669
70,50,75.0,83.33333333333334,125.0
70,60,72.5,100.0,120.83333333333334
70,70,70.0,116.66666666666667,116.66666666666667
70,80,67.5,133.33333333333334,112.5
70,90,65.0,150.0,108.33333333333334
70,100,62.5,166.66666666666669,104.16666666666667
80,0,100.0,0.0,166.66666666666669
80,10,97.5,16.666666666666668,162.5
80,20,95.0,33.333333333333336,158.33333333333334
80,30,92.5,50.0,154.16666666666669
80,40,90.0,66.66666666666667,150.0
80,50,87.5,83.33333333333334,145.83333333333334
80,60,85.0,100.0,141.66666666666669
80,70,82.5,116.66666666666667,137.5
80,80,80.0,133.33333333333334,133.33333333333334
80,90,77.5,150.0,129.16666666666669
80,100,75.0,166.66666666666669,125.0
90,0,100.0,0.0,166.66666666666669
90,10,100.0,16.666666666666668,166.66666666666669
90,20,100.0,33.333333333333336,166.66666666666669
90,30,100.0,50.0,166.66666666666669
90,40,100.0,66.66666666666667,166.66666666666669
90,50,100.0,83.33333333333334,166.66666666666669
90,60,97.5,100.0,162.5
90,70,95.0,116.66666666666667,158.33333333333334
90,80,92.5,133.33333333333334,154.16666666666669
90,90,90.0,150.0,150.0
90,100,87.5,166.66666666666669,145.83333333333334
100,0,100.0,0.0,166.66666666666669
100,10,100.0,16.666666666666668,166.66666666666669
100,20,100.0,33.333333333333336,166.66666666666669
100,30,100.0,50.0,166.66666666666669
100,40,100.0,66.66666666666667,166.66666666666669
100,50,100.0,83.33333333333334,166.66666666666669
100,60,100.0,100.0,166.66666666666669
100,70,100.0,116.66666666666667,166.66666666666669
100,80,100.0,133.33333333333334,166.66666666666669
100,90,100.0,150.0,166.66666666666669
100,100,100.0,166.66666666666669,166.66666666666669
