Vaccine Budget (% of population),Superspreader Compliance (% relative to superspreader subpopulation),Relative General Population Compliance (% relative to general population subpopulation),Actual/ Converted Superspreader Compliance Required (relative to vaccine efficacy),Actual/ Converted General Population Compliance Required (relative to vaccine efficacy)
10,0,12.5,0.0,13.88888888888889
10,10,10.0,11.11111111111111,11.11111111111111
10,20,7.5,22.22222222222222,8.333333333333334
10,30,5.0,33.333333333333336,5.555555555555555
10,40,2.5,44.44444444444444,2.7777777777777777
10,50,0.0,55.55555555555556,0.0
10,60,0.0,66.66666666666667,0.0
10,70,0.0,77.77777777777777,0.0
10,80,0.0,88.88888888888889,0.0
10,90,0.0,100.0,0.0
10,100,0.0,111.11111111111111,0.0
20,0,25.0,0.0,27.77777777777778
20,10,22.5,11.11111111111111,25.0
20,20,20.0,22.22222222222222,22.22222222222222
20,30,17.5,33.333333333333336,19.444444444444443
20,40,15.0,44.44444444444444,16.666666666666668
20,50,12.5,55.55555555555556,13.88888888888889
20,60,10.0,66.66666666666667,11.11111111111111
20,70,7.5,77.77777777777777,8.333333333333334
20,80,5.0,88.88888888888889,5.555555555555555
20,90,2.5,100.0,2.7777777777777777
20,100,0.0,111.11111111111111,0.0
30,0,37.5,0.0,41.666666666666664
30,10,35.0,11.11111111111111,38.888888888888886
30,20,32.5,22.22222222222222,36.11111111111111
30,30,30.0,33.333333333333336,33.333333333333336
30,40,27.500000000000004,44.44444444444444,30.555555555555557
30,50,25.0,55.55555555555556,27.77777777777778
30,60,22.5,66.66666666666667,25.0
30,70,20.0,77.77777777777777,22.22222222222222
30,80,17.5,88.88888888888889,19.444444444444443
30,90,15.0,100.0,16.666666666666668
30,100,12.5,111.11111111111111,13.88888888888889
40,0,50.0,0.0,55.55555555555556
40,10,47.5,11.11111111111111,52.77777777777778
40,20,45.0,22.22222222222222,50.0
40,30,42.5,33.333333333333336,47.22222222222222
40,40,40.0,44.44444444444444,44.44444444444444
40,50,37.5,55.55555555555556,41.666666666666664
40,60,35.0,66.66666666666667,38.888888888888886
40,70,32.5,77.77777777777777,36.11111111111111
40,80,30.0,88.88888888888889,33.333333333333336
40,90,27.500000000000004,100.0,30.555555555555557
40,100,25.0,111.11111111111111,27.77777777777778
50,0,62.5,0.0,69.44444444444444
50,10,60.0,11.11111111111111,66.66666666666667
50,20,57.49999999999999,22.22222222222222,63.88888888888888
50,30,55.00000000000001,33.333333333333336,61.111111111111114
50,40,52.5,44.44444444444444,58.33333333333333
50,50,50.0,55.55555555555556,55.55555555555556
50,60,47.5,66.66666666666667,52.77777777777778
50,70,45.0,77.77777777777777,50.0
50,80,42.5,88.88888888888889,47.22222222222222
50,90,40.0,100.0,44.44444444444444
50,100,37.5,111.11111111111111,41.666666666666664
60,0,75.0,0.0,83.33333333333333
60,10,72.5,11.11111111111111,80.55555555555556
60,20,70.0,22.22222222222222,77.77777777777777
60,30,67.5,33.333333333333336,75.0
60,40,65.0,44.44444444444444,72.22222222222221
60,50,62.5,55.55555555555556,69.44444444444444
60,60,60.0,66.66666666666667,66.66666666666667
60,70,57.49999999999999,77.77777777777777,63.88888888888888
60,80,55.00000000000001,88.88888888888889,61.111111111111114
60,90,52.5,100.0,58.33333333333333
60,100,50.0,111.11111111111111,55.55555555555556
70,0,87.5,0.0,97.22222222222221
70,10,85.0,11.11111111111111,94.44444444444444
70,20,82.5,22.22222222222222,91.66666666666667
70,30,80.0,33.333333333333336,88.88888888888889
70,40,77.5,44.44444444444444,86.11111111111111
70,50,75.0,55.55555555555556,83.33333333333333
70,60,72.5,66.66666666666667,80.55555555555556
70,70,70.0,77.77777777777777,77.77777777777777
70,80,67.5,88.88888888888889,75.0
70,90,65.0,100.0,72.22222222222221
70,100,62.5,111.11111111111111,69.44444444444444
80,0,100.0,0.0,111.11111111111111
80,10,97.5,11.11111111111111,108.33333333333333
80,20,95.0,22.22222222222222,105.55555555555556
80,30,92.5,33.333333333333336,102.77777777777777
80,40,90.0,44.44444444444444,100.0
80,50,87.5,55.55555555555556,97.22222222222221
80,60,85.0,66.66666666666667,94.44444444444444
80,70,82.5,77.77777777777777,91.66666666666667
80,80,80.0,88.88888888888889,88.88888888888889
80,90,77.5,100.0,86.11111111111111
80,100,75.0,111.11111111111111,83.33333333333333
90,0,100.0,0.0,111.11111111111111
90,10,100.0,11.11111111111111,111.11111111111111
90,20,100.0,22.22222222222222,111.11111111111111
90,30,100.0,33.333333333333336,111.11111111111111
90,40,100.0,44.44444444444444,111.11111111111111
90,50,100.0,55.55555555555556,111.11111111111111
90,60,97.5,66.66666666666667,108.33333333333333
90,70,95.0,77.77777777777777,105.55555555555556
90,80,92.5,88.88888888888889,102.77777777777777
90,90,90.0,100.0,100.0
90,100,87.5,111.11111111111111,97.22222222222221
100,0,100.0,0.0,111.11111111111111
100,10,100.0,11.11111111111111,111.11111111111111
100,20,100.0,22.22222222222222,111.11111111111111
100,30,100.0,33.333333333333336,111.11111111111111
100,40,100.0,44.44444444444444,111.11111111111111
100,50,100.0,55.55555555555556,111.11111111111111
100,60,100.0,66.66666666666667,111.11111111111111
100,70,100.0,77.77777777777777,111.11111111111111
100,80,100.0,88.88888888888889,111.11111111111111
100,90,100.0,100.0,111.11111111111111
100,100,100.0,111.11111111111111,111.11111111111111
